Id,front_camera,resolution_width,mobile_weight,screen_width,talk_time,touch_screen,clock_speed,ram,bluetooth,battery_power,internal_memory,primary_camera,mobile_depth,dual_sim,resolution_height,wifi,4g,3g,n_cores,screen_height,price_range
73,2,1356,173,2,7,no,1.3,2641,no,1977,31,6,0.4,yes,1145,no,no,no,8,8,high
74,3,1767,89,3,9,no,0.5,724,no,1872,17,6,0.7,yes,1749,yes,no,yes,6,17,low
75,0,581,160,4,13,yes,1.6,1012,no,1004,30,1,1,yes,62,yes,yes,yes,8,7,very low
76,2,1313,123,11,10,no,2,2208,yes,1260,23,10,0.2,yes,905,yes,yes,yes,7,12,medium
77,0,775,101,0,5,yes,1.7,834,no,728,5,20,0.6,yes,584,no,yes,yes,2,16,very low
78,1,783,141,5,18,no,0.6,2587,no,571,43,8,0.5,no,224,no,yes,yes,3,7,low
79,8,1523,118,17,11,yes,2,3534,no,966,34,10,0.5,no,214,yes,yes,yes,2,18,high
80,0,1919,100,0,12,yes,2.2,3845,yes,1310,51,0,0.6,yes,178,no,yes,yes,4,7,high
81,0,860,124,2,6,no,0.5,455,no,1935,29,9,0.6,no,806,yes,yes,yes,5,9,very low
82,7,1841,115,8,13,no,2.8,2286,yes,1009,2,15,0.6,yes,267,no,yes,yes,7,19,medium
83,2,1795,172,5,8,no,0.5,2085,yes,504,46,14,0.9,yes,280,no,yes,yes,5,13,low
84,6,833,151,10,16,no,2.8,2785,yes,1109,57,12,0.9,yes,124,no,no,yes,1,15,medium
85,4,1145,85,3,15,yes,0.9,2130,yes,1597,4,19,0.5,no,880,no,yes,yes,1,8,medium
86,1,763,182,4,13,yes,2.2,2638,yes,911,28,2,0.5,yes,157,yes,yes,yes,2,8,low
87,7,1793,136,8,16,no,2.1,3412,no,906,18,11,0.1,yes,1102,no,no,yes,2,13,high
88,1,1768,97,10,12,yes,0.5,3796,no,1699,59,3,0.5,yes,466,yes,no,no,4,17,high
89,0,1767,150,5,16,no,0.5,2110,no,1136,9,2,0.9,no,1307,yes,yes,yes,6,9,medium
90,4,1925,139,10,6,yes,2.3,1394,no,1692,46,6,0.9,yes,674,no,yes,yes,1,16,low
91,11,1243,80,10,5,yes,0.5,666,yes,928,56,13,0.7,yes,221,no,no,no,8,19,very low
92,0,1699,170,5,5,yes,2.4,3660,no,1563,24,0,0.2,no,142,no,yes,yes,8,7,high
93,0,888,187,9,11,no,0.5,294,yes,823,39,4,0.4,no,630,yes,no,no,8,13,very low
94,4,1615,83,6,13,no,1,625,no,1715,31,17,0.5,yes,638,no,yes,yes,8,17,very low
95,0,1482,199,2,19,no,2.6,1724,yes,1204,10,3,0.3,no,480,no,no,yes,7,11,low
96,4,1145,115,12,17,yes,1.6,2941,yes,1368,9,7,0.1,yes,843,no,no,no,7,13,high
97,6,1988,194,4,8,no,0.5,530,no,721,6,9,0.4,yes,1446,yes,yes,yes,4,8,very low
98,8,1564,172,7,6,no,0.6,433,no,1049,2,10,0.3,yes,39,no,yes,yes,6,10,very low
99,1,671,134,2,19,yes,0.5,3912,no,1379,19,17,0.3,yes,387,yes,no,no,8,11,high
100,6,1848,153,6,3,no,0.5,3064,no,1958,52,14,0.4,no,1524,no,yes,yes,1,7,high
101,1,885,129,5,15,yes,1.1,2358,no,1379,18,16,0.2,yes,838,no,yes,yes,2,10,medium
102,1,1742,84,6,14,no,2.3,3296,no,1695,34,10,0.4,yes,713,no,no,no,5,17,high
103,4,1191,124,5,17,no,0.7,1368,yes,1522,28,5,0.2,yes,952,yes,no,yes,1,14,low
104,7,1759,191,9,3,yes,0.5,1489,no,1923,46,10,0.5,yes,767,yes,no,yes,1,10,low
105,0,603,80,1,7,yes,1.5,3993,no,1166,43,1,0.8,yes,205,no,yes,yes,4,7,high
106,5,525,154,0,16,no,1,2519,no,1923,14,6,0.9,yes,15,yes,yes,yes,4,13,medium
107,0,1388,80,0,10,no,1.4,1774,no,1707,41,2,0.8,no,1331,no,no,no,7,12,medium
108,5,1181,152,0,5,no,1.6,1993,no,1973,39,6,0.8,yes,792,no,yes,yes,4,9,medium
109,0,963,130,1,14,yes,1.2,2750,yes,1211,28,3,0.3,no,58,no,no,no,2,6,medium
110,13,1127,194,10,20,no,0.6,1457,yes,672,61,20,0.1,yes,724,yes,no,yes,5,14,very low
111,9,1039,111,0,17,no,1.6,1886,yes,1210,57,20,0.5,yes,329,yes,no,yes,4,16,low
112,4,1988,138,4,4,no,2.2,1633,no,1470,33,10,0.4,yes,1790,no,yes,yes,7,18,medium
113,1,1858,146,10,6,yes,0.5,362,yes,589,59,4,0.7,no,759,yes,yes,yes,8,16,very low
114,0,935,106,15,12,yes,0.8,2801,no,803,18,1,0.3,yes,627,no,no,no,4,18,medium
115,10,1528,95,0,13,yes,1.5,2456,no,1347,56,19,0.3,yes,398,yes,no,yes,1,13,medium
116,3,614,175,1,14,no,0.5,860,no,1205,12,6,0.6,yes,573,yes,no,yes,4,14,very low
117,1,1715,102,3,4,yes,2.6,2249,no,1212,46,8,0.3,no,611,yes,yes,yes,4,14,medium
118,0,1544,168,6,2,no,1.7,3397,yes,805,58,10,0.9,yes,81,no,yes,yes,3,7,medium
119,18,1393,160,2,11,no,1.1,2520,yes,1533,17,20,0.3,yes,1054,yes,yes,yes,4,8,medium
120,3,1972,109,4,6,no,2.5,1083,no,1008,36,14,1,no,825,no,no,no,1,6,low
121,7,1451,182,5,16,no,0.5,340,yes,1179,32,12,0.3,no,85,no,yes,yes,2,16,very low
122,6,1504,167,7,11,no,3,1044,no,1066,5,7,0.5,yes,53,no,yes,yes,5,8,very low
123,5,1970,197,14,13,yes,0.5,584,yes,1944,36,18,0.1,no,1060,no,yes,yes,6,17,low
124,3,1726,190,2,6,no,0.5,2131,yes,930,34,16,0.5,yes,1050,yes,yes,yes,4,7,medium
125,0,1750,103,11,20,no,2.7,3587,yes,658,12,3,0.9,no,1156,no,yes,yes,7,14,high
126,0,1402,100,1,11,no,1.1,2334,no,1309,33,14,0.5,yes,557,yes,no,yes,4,10,medium
127,9,986,199,3,13,yes,0.5,2156,yes,915,33,16,0.3,yes,503,no,yes,yes,2,7,low
128,3,1203,198,5,15,no,2,2488,no,1166,25,4,0.8,no,59,no,yes,yes,5,13,medium
129,0,1460,142,17,6,yes,0.5,3559,yes,1277,35,6,0.4,yes,309,no,yes,yes,6,18,high
130,1,511,152,7,6,yes,1.2,3148,yes,764,13,2,1,yes,361,no,no,yes,8,18,medium
131,11,1713,136,11,12,yes,1.8,3358,yes,1628,56,13,0.1,yes,500,yes,no,yes,2,17,high
132,1,1686,153,6,3,yes,1,2391,no,936,18,18,0.2,no,1330,yes,no,yes,3,12,medium
133,0,1518,121,6,8,no,0.8,1519,no,576,27,4,0.1,no,757,yes,yes,yes,2,18,low
134,0,904,122,3,5,no,2,462,yes,1719,12,7,0.3,no,240,no,no,no,8,6,very low
135,2,654,90,7,18,no,0.7,2978,no,1832,2,6,0.6,no,186,no,no,no,7,18,medium
136,10,864,196,11,14,yes,3,2394,yes,1193,56,17,0.4,no,674,no,no,yes,3,19,medium
137,2,1862,165,3,10,yes,2.8,3714,yes,977,35,15,0.6,yes,1502,yes,no,no,2,19,high
138,0,846,148,1,9,yes,1.9,3230,yes,1735,59,0,0.7,yes,137,no,yes,yes,6,6,high
139,0,1649,89,0,6,no,2.8,2030,no,1674,52,7,0.2,yes,1432,no,yes,yes,3,7,medium
140,13,563,185,9,3,no,0.5,373,no,1866,52,17,0.7,no,356,yes,yes,yes,1,14,very low
141,1,1632,108,1,5,yes,0.9,3057,no,1911,36,3,0.7,yes,868,no,yes,yes,8,9,high
142,18,1179,196,5,12,yes,1,3616,yes,1137,7,19,1,no,942,yes,no,yes,3,13,high
143,2,1197,145,8,4,no,1.6,2515,no,1676,37,3,0.2,no,134,yes,no,yes,1,14,medium
144,11,1920,186,3,13,no,2,1783,yes,1930,16,12,0.8,no,1901,yes,no,no,8,17,medium
145,3,1143,148,10,7,no,2.6,3886,yes,777,30,17,0.9,no,189,no,no,yes,5,14,high
146,0,660,169,3,7,yes,2,3131,no,1868,42,4,0.2,yes,347,yes,yes,yes,1,8,high
147,0,589,166,6,6,no,1.3,690,no,1087,16,9,0.3,no,295,yes,yes,yes,3,14,very low
148,9,1963,199,6,2,no,2,1513,yes,1713,5,16,0.7,no,108,yes,yes,yes,6,15,low
149,0,1269,123,4,7,no,2.3,2382,yes,1339,40,1,0.1,yes,212,yes,no,yes,2,6,medium
150,12,1746,170,2,17,yes,0.6,3622,no,1602,58,13,0.4,no,1259,yes,no,no,1,17,high
151,5,1786,109,4,15,no,1.8,3185,no,821,54,9,0.1,yes,253,no,no,yes,3,8,medium
152,1,1724,125,5,16,yes,1.2,1214,no,1143,22,6,1,yes,1116,no,yes,yes,3,12,low
153,0,1963,105,3,19,no,1.7,2700,no,744,33,2,0.5,yes,1252,no,yes,yes,4,9,medium
154,6,1686,89,8,13,yes,2.4,2454,no,1248,9,8,0.4,no,71,no,yes,yes,3,9,medium
155,2,1316,110,5,6,no,0.7,756,no,875,23,7,0.1,no,300,no,no,no,7,14,very low
156,0,1593,184,4,20,yes,2.6,262,no,1515,56,1,0.9,no,1438,no,yes,yes,3,14,very low
157,1,902,121,4,8,yes,2.4,1204,no,553,8,3,0.5,yes,325,yes,yes,yes,7,11,very low
158,13,580,134,14,15,yes,1.8,3213,yes,1843,16,18,0.7,yes,118,no,yes,yes,6,15,high
159,1,1815,176,1,12,yes,1.2,3139,no,793,38,7,0.6,yes,1226,yes,yes,yes,4,6,high
160,8,1186,92,4,8,yes,1.7,1050,no,763,2,14,0.5,yes,1028,no,yes,yes,8,6,very low
161,2,1797,112,10,10,yes,2.8,3890,no,1582,44,13,0.5,no,1486,yes,yes,yes,6,17,high
162,1,1275,197,12,15,no,1.4,2343,yes,965,13,2,0.9,no,645,no,no,yes,8,17,medium
163,2,1021,139,7,3,no,1.3,1400,no,1936,44,3,0.1,no,570,yes,no,no,3,17,low
164,7,1643,146,10,16,yes,0.7,1244,yes,909,47,9,0.1,yes,410,no,no,no,3,14,very low
165,1,1075,143,8,12,yes,0.5,3286,no,956,41,6,1,no,511,no,yes,yes,7,17,high
166,4,730,124,4,14,yes,1.8,1903,yes,842,57,10,1,yes,348,no,no,no,3,8,low
167,5,890,104,10,10,no,3,971,no,1713,20,17,0.9,yes,237,no,yes,yes,7,11,very low
168,0,630,154,4,16,yes,2.1,2104,no,946,19,0,0.2,no,159,no,yes,yes,8,7,low
169,2,952,103,1,18,yes,2.4,1948,no,1074,9,14,0.9,yes,946,yes,yes,yes,6,13,low
170,0,1545,147,5,15,no,0.5,1336,yes,1663,40,15,0.6,no,951,no,no,yes,4,8,low
171,0,1336,130,13,13,yes,1,1354,yes,1593,52,0,0.7,no,761,yes,yes,yes,8,15,low
172,9,850,172,9,2,yes,1,1384,yes,1581,41,19,0.4,no,693,yes,no,no,4,19,low
173,9,1082,180,6,16,yes,0.9,3206,no,1627,32,16,0.1,yes,52,no,yes,yes,6,12,high
174,2,1771,138,4,17,no,2.7,2929,no,625,42,3,0.8,yes,203,no,no,yes,8,10,medium
175,3,948,195,5,13,yes,2,3100,yes,857,17,9,0.2,yes,157,no,no,yes,7,17,medium
176,4,1551,190,1,2,yes,1.4,739,yes,649,19,12,0.8,no,344,no,yes,yes,7,18,very low
177,0,1925,119,4,6,yes,1.9,857,yes,1987,50,18,0.7,no,960,no,no,yes,8,12,low
178,3,1164,158,3,10,no,2,1543,yes,1083,41,5,0.7,no,937,yes,no,no,5,18,low
179,2,1504,103,2,11,no,0.7,1799,no,832,39,3,0.7,yes,125,yes,yes,yes,4,5,low
180,7,1294,193,0,4,yes,2.1,665,yes,561,2,13,0.1,yes,1055,no,yes,yes,3,10,very low
181,0,1787,118,2,16,yes,2.8,3373,yes,1395,55,1,0.6,no,782,no,yes,yes,3,11,high
182,3,726,145,18,10,yes,1.1,3869,yes,1375,9,19,0.9,no,475,yes,yes,yes,7,19,high
183,5,1564,110,14,3,yes,0.7,2172,yes,1892,47,10,0.4,no,1399,yes,no,yes,4,17,medium
184,0,1666,171,8,3,no,1.2,1529,yes,1476,55,5,0.1,yes,1641,yes,yes,yes,4,13,medium
185,10,1819,105,3,17,no,2.5,1656,no,1698,26,18,0.4,no,485,yes,yes,yes,2,5,medium
186,0,765,162,11,7,no,2,2524,no,1531,60,1,0.4,no,625,no,yes,yes,6,13,medium
187,0,1021,149,4,12,yes,2.3,3011,yes,1254,44,10,0.2,no,204,no,yes,yes,1,7,medium
188,9,1079,187,5,18,yes,1,2648,no,643,18,12,0.2,no,442,yes,yes,yes,8,7,low
189,1,1688,131,6,9,no,1.8,3117,yes,503,13,4,0.7,yes,1495,yes,yes,yes,1,19,high
190,2,663,155,0,15,yes,0.9,1422,yes,1712,23,19,1,yes,155,no,no,yes,7,5,low
191,2,1777,169,10,14,yes,0.6,2402,no,1660,24,3,0.8,no,223,yes,yes,yes,2,12,medium
192,0,718,195,12,9,no,0.9,1675,no,1854,33,0,0.4,yes,665,yes,yes,yes,1,14,low
193,1,1386,123,8,10,yes,1,445,no,1799,30,9,0.6,no,617,no,yes,yes,3,10,very low
194,2,694,160,7,17,no,0.5,1284,no,820,58,4,0.3,yes,468,yes,no,no,4,17,very low
195,0,1739,105,4,9,no,0.6,984,yes,733,63,10,0.3,yes,950,yes,no,yes,7,17,very low
196,8,1426,85,3,7,no,2.4,296,yes,1617,36,9,0.8,no,743,no,yes,yes,1,5,very low
197,1,874,187,5,13,yes,2.4,2953,no,675,42,2,0.6,no,482,no,no,yes,7,9,medium
198,2,1717,90,2,20,yes,2.6,1246,yes,1779,5,3,0.8,yes,1225,no,no,no,1,12,low
199,0,983,153,8,13,yes,1.6,1808,yes,1428,7,2,0.1,no,584,no,no,no,4,12,low
200,9,1849,120,2,4,yes,2.6,1249,no,1715,15,20,0.6,yes,114,no,yes,yes,6,16,low
201,13,816,101,4,7,no,1.9,2456,yes,1081,42,17,0.1,yes,83,no,yes,yes,7,7,low
202,6,1832,120,10,17,yes,1.2,1510,yes,1623,61,12,0.9,no,1568,no,yes,yes,7,12,medium
203,4,1922,171,11,13,yes,0.7,3699,yes,1976,32,7,0.8,yes,1301,yes,no,no,2,17,high
204,0,1716,104,4,16,no,2.3,3299,yes,1270,58,1,0.5,no,1512,yes,no,no,5,13,high
205,0,1023,158,11,11,yes,0.9,3241,yes,1485,28,1,0.8,yes,371,no,yes,yes,5,14,high
206,1,800,147,1,20,yes,0.5,2341,yes,843,56,17,0.1,no,140,yes,yes,yes,5,10,low
207,1,1723,198,4,3,yes,0.5,726,yes,1201,10,5,0.4,no,1151,no,yes,yes,6,11,very low
208,5,1148,101,0,2,no,1,3115,no,854,17,9,0.9,no,730,no,yes,yes,4,7,medium
209,0,1754,187,6,7,no,2.7,2311,no,724,44,0,0.5,yes,1273,no,no,yes,7,7,medium
210,3,774,138,12,8,yes,2.8,3271,no,1485,44,14,0.1,no,341,no,yes,yes,4,14,high
211,5,1492,141,7,16,no,2.9,980,yes,514,18,8,0.7,yes,1083,yes,no,no,2,13,very low
212,5,1836,163,2,5,no,1.3,3883,yes,732,32,7,0.4,no,1661,yes,yes,yes,8,12,high
213,2,1366,98,8,2,no,0.5,3915,no,1406,34,5,0.8,yes,1017,yes,yes,yes,3,9,high
214,1,755,140,10,7,yes,0.5,2575,yes,1741,55,3,0.1,no,719,yes,yes,yes,5,13,medium
215,0,1066,103,11,8,yes,2.6,3209,yes,1095,44,5,0.7,yes,838,yes,yes,yes,4,13,high
216,1,1011,84,7,6,no,2.2,2064,no,676,39,5,0.2,no,864,no,yes,yes,1,13,low
217,16,1930,145,5,8,no,0.5,302,yes,550,23,17,0.1,no,486,no,yes,yes,2,18,very low
218,3,1382,129,8,10,yes,1.4,2552,no,1296,11,4,0.2,yes,1222,yes,no,yes,7,19,medium
219,0,1989,97,13,4,no,1.2,340,no,1259,13,0,0.5,yes,1210,yes,no,yes,2,17,very low
220,3,893,83,3,8,no,2.7,1183,no,1043,29,17,0.2,no,887,no,no,yes,8,5,very low
221,0,1441,183,0,11,no,0.5,1733,no,1330,38,1,1,no,1290,yes,no,yes,7,9,low
222,1,821,156,6,16,no,0.5,2722,no,963,60,3,0.8,no,742,no,yes,yes,3,12,medium
223,16,512,185,7,19,no,2.7,961,no,1002,11,18,0.4,yes,285,yes,yes,yes,6,10,very low
224,10,1352,160,6,12,no,0.8,2219,no,1097,21,15,0.1,no,1277,yes,yes,yes,7,15,medium
225,4,1320,186,0,20,yes,0.7,687,yes,514,57,7,0.1,no,168,yes,no,yes,3,6,very low
226,4,765,154,8,10,yes,1.4,532,yes,601,4,13,0.1,no,356,yes,yes,yes,4,12,very low
227,5,583,194,1,16,yes,0.9,1869,no,1336,17,9,0.2,no,55,yes,yes,yes,5,13,low
228,6,807,89,18,7,no,0.8,824,no,1191,46,9,0.8,no,42,no,yes,yes,6,19,very low
229,0,974,155,3,3,yes,2,323,no,1807,13,0,0.5,yes,970,yes,yes,yes,8,9,very low
230,3,1324,161,6,13,yes,2.3,3431,no,808,45,9,0.8,no,526,yes,no,no,1,15,high
231,2,1001,80,2,19,no,1.1,643,yes,1195,8,6,0.9,yes,327,no,yes,yes,6,14,very low
232,7,1135,197,0,15,no,2.1,2066,yes,683,30,8,0.1,no,927,no,no,no,7,9,low
233,5,1472,164,5,18,no,1.5,3774,no,664,6,19,0.9,no,1076,no,yes,yes,2,11,high
234,9,1882,131,9,12,no,2.7,575,yes,1450,19,17,0.6,yes,707,no,no,no,1,15,very low
235,7,848,129,4,7,no,0.6,2336,no,1671,61,11,0.1,yes,263,no,yes,yes,2,10,medium
236,0,1781,138,3,5,yes,2.2,2574,yes,618,63,1,0.9,yes,853,no,yes,yes,2,14,medium
237,7,1793,192,1,14,yes,1.3,1355,no,1021,9,12,0.7,no,901,no,no,yes,2,6,low
238,1,840,198,8,5,no,0.7,3736,yes,914,60,4,0.9,no,740,no,yes,yes,5,14,high
239,0,898,199,14,4,no,2.1,2280,yes,1828,17,1,0.9,yes,336,no,no,no,1,17,medium
240,0,820,100,7,18,no,1.5,3945,no,1429,40,14,0.9,yes,246,yes,yes,yes,3,11,high
241,0,1340,103,5,10,no,2.1,712,yes,1444,6,1,0.9,yes,1274,no,no,no,1,17,very low
242,11,1316,121,10,16,no,0.5,3484,yes,753,48,20,0.1,no,606,no,yes,yes,8,11,high
243,2,657,85,1,14,no,1.4,967,no,659,3,6,0.1,yes,190,yes,yes,yes,8,10,very low
244,1,1639,114,5,9,yes,2.1,794,no,1450,31,4,0.6,no,1573,yes,no,no,5,11,low
245,0,1970,199,5,7,no,2.6,3393,no,1071,49,5,0.3,no,1328,no,no,yes,4,6,high
246,10,598,142,7,10,no,1.4,3178,no,586,8,14,0.5,yes,116,yes,yes,yes,8,9,medium
247,8,1897,88,10,6,yes,0.5,3607,yes,1512,18,17,0.1,no,1079,yes,yes,yes,3,12,high
248,2,574,131,2,7,no,2.1,3838,no,707,25,17,0.8,yes,495,yes,no,yes,3,9,high
249,3,954,144,2,9,yes,2.8,1851,yes,1281,8,19,0.3,yes,590,no,yes,yes,4,8,low
250,4,1994,104,8,15,no,0.5,2973,yes,1413,45,6,0.4,yes,1949,yes,yes,yes,5,17,high
251,0,1753,195,1,14,yes,1.6,732,no,1945,57,1,0.3,yes,743,no,yes,yes,4,14,low
252,0,1087,175,3,19,yes,3,2173,no,1925,16,11,0.8,yes,983,no,yes,yes,8,7,medium
253,1,718,112,7,14,no,1,1205,yes,1744,20,3,0.5,no,68,no,yes,yes,8,18,low
254,3,1629,149,5,4,yes,1.3,1797,no,1197,20,7,0.5,no,649,yes,yes,yes,6,19,low
